LGA,Depression Rate,Social (at Risk),Social (vulnerable),Language (at Risk),Language (vulnerable),Communication (at Risk),Communication (Vulnerable),Emotional (at Risk),Emotional (Vulnerable),Health (at Risk),Health (Vulnerable),ecTeachers,ecStudents,psGovTeachers,psCTeachers,psStudents,ssGovTeachers,ssCTeachers,ssStudents,tsRatio,bullying,connectedness,familystress
Alpine,18.2,16,12,3.2,9.6,17.6,7.2,20.8,9.6,16,12.8,8.0,140.0,64.0,30.5,2176.0,78.0,30.5,2301.0,0.0453428635246817,0.206,0.806,0.1043478260869565
Ararat,22.8,19.5,15.3,13.6,14.4,19.5,8.5,21.2,17.8,10.2,14.4,8.0,121.0,59.0,56.4,1857.0,31.0,56.4,1956.0,0.0531864673485444,0.186,0.834,0.0943396226415094
Ballarat,15.6,12.1,8.2,7.5,7,11.2,6.5,13.4,8.9,10.3,11,76.0,1624.0,397.0,464.3,13355.0,347.0,464.3,11346.0,0.0677138577385531,0.196,0.819,0.1230388109000825
Banyule,23.5,11.4,6.2,6,3.2,13.3,4.1,11.1,5.7,10.3,5.7,98.0,1609.0,513.0,485.2,11741.0,400.0,485.2,11897.0,0.0796767916067349,0.118,0.884,0.111310592459605
Bass Coast,22.4,18.2,7.4,13.8,6.1,12.7,8.5,16.3,8.3,13.8,8,18.0,398.0,146.0,20.0,3098.0,113.0,20.0,1928.0,0.0594906486271388,0.092,0.897,0.0971428571428571
Baw Baw,20.7,14.6,9.4,8.8,8.8,13.9,6.8,16.2,8.3,9.4,11.7,32.0,682.0,237.0,135.5,6633.0,206.0,135.5,5452.0,0.0590815059991725,0.162,0.812,0.1139455782312925
Bayside,19.6,8.7,4.3,4.3,2.6,8,3.2,9,4.9,6.6,3.5,88.0,1261.0,386.0,277.3,11377.0,185.0,277.3,6206.0,0.0640163794574304,0.113,0.9,0.0827402135231316
Benalla,18.6,17.6,11.8,11.8,6.7,10.1,6.7,17.6,11.8,5.9,12.6,6.0,148.0,33.0,68.2,1678.0,55.0,68.2,1070.0,0.0816593886462882,0.309,0.711,0.1558441558441558
Boroondara,21.3,11,4.6,5.7,1.8,9.8,4.7,10.3,4.9,10.4,4.7,121.0,1818.0,634.0,533.4,17583.0,466.0,533.4,19455.0,0.0585020789459474,0.121,0.864,0.1025473546701502
Brimbank,19.9,13.7,11.2,10.9,9.8,14.2,12.6,14.5,8.2,10.2,9.3,120.0,2597.0,831.0,597.1,17625.0,671.0,597.1,12429.0,0.0897118519997338,0.131,0.854,0.0596393897364771
Buloke,15.6,17.3,13.5,11.5,5.8,13.5,11.5,21.2,9.6,7.7,21.2,6.0,64.0,35.0,13.1,809.0,80.0,13.1,472.0,0.1102263856362217,0.085,0.872,0.1333333333333333
Campaspe,16.2,15.7,12.6,12.4,8.9,18.8,8,15.1,9.6,16.4,11.8,28.0,484.0,148.0,184.4,4097.0,151.0,184.4,3383.0,0.0892780748663101,0.172,0.846,0.1340425531914893
