,tsRatio
Alpine,0.038530265802993076
Ararat,0.03839496459480724
Ballarat,0.04891704789279786
Banyule,0.05915052034859125
Bass Coast,0.05551134102666136
Baw Baw,0.04786925941249483
Bayside,0.048245464368992776
Benalla,0.05684133915574963
Boroondara,0.04410065338301204
Brimbank,0.06984428029546816
Buloke,0.09999999999999999
Campaspe,0.06462566844919786
Cardinia,0.049076305220883534
Casey,0.06000225869597953
Central Goldfields,0.05570833333333333
Colac-Otway,0.07686353211009175
Corangamite,0.07769347496206373
Darebin,0.07032194803072397
East Gippsland,0.08216384376080194
Frankston,0.06198162167309432
Gannawarra,0.06005571030640668
Glen Eira,0.04191764505700187
Glenelg,0.0650735294117647
Golden Plains,0.08950506857483602
Greater Bendigo,0.050501834902949114
Greater Dandenong,0.055765961652500494
Greater Geelong,0.05690806862415301
Greater Shepparton,0.05100531107738999
Hepburn,0.10702402957486136
Hindmarsh,0.09833134684147796
Hobsons Bay,0.05390299944109793
Horsham,0.06532742802910471
Hume,0.05779606043825647
Indigo,0.0628125
Kingston,0.06420321111909896
Knox,0.06030128731854286
Latrobe,0.07210013376648194
Loddon,0.08574979287489644
Macedon Ranges,0.0506490696668109
Manningham,0.06474613944782406
Maribyrnong,0.07514577956218335
Maroondah,0.05275856344419235
Melbourne,0.04165632754342431
Melton,0.06124636091304164
Mildura,0.07100671140939598
Mitchell,0.07749636098981076
Moira,0.06789761625635014
Monash,0.06572423747960336
Moonee Valley,0.06517832534038918
Moorabool,0.05062413314840499
Moreland,0.0695769690112515
Mornington Peninsula,0.06160475482912332
Mount Alexander,0.06759030183077684
Moyne,0.0788265306122449
Murrindindi,0.09931719428926133
Nillumbik,0.06209070796460176
Northern Grampians,0.08243335611756664
Port Phillip,0.06664397549353301
Queenscliffe,0.08549618320610687
South Gippsland,0.07339647008179079
Southern Grampians,0.068001540238737
Stonnington,0.06308358855606185
Strathbogie,0.1205026455026455
Surf Coast,0.0697260660830274
Swan Hill,0.07681242807825087
Towong,0.09435084241823588
Wangaratta,0.06816190277488003
Warrnambool,0.09156527118993607
Wellington,0.07513674788662357
West Wimmera,0.12725490196078432
Whitehorse,0.06092737811114899
Whittlesea,0.07465154907200115
Wodonga,0.06407054582904222
Wyndham,0.0627965483999906
Yarra,0.0849313373747371
Yarra Ranges,0.06063904349618635
Yarriambiack,0.14573991031390135
