LGA,bullying,connectedness,familystress
Alpine ,0.206,0.806,0.10434782608695652
Ararat ,0.186,0.834,0.09433962264150944
Ballarat ,0.196,0.819,0.12303881090008258
Banyule ,0.118,0.884,0.11131059245960502
Bass Coast ,0.092,0.897,0.09714285714285714
Baw Baw ,0.162,0.812,0.11394557823129252
Bayside ,0.113,0.9,0.08274021352313167
Benalla ,0.309,0.711,0.15584415584415584
Boroondara ,0.121,0.864,0.10254735467015023
Brimbank ,0.131,0.854,0.059639389736477116
Buloke ,0.085,0.872,0.13333333333333333
Campaspe ,0.172,0.846,0.13404255319148936
Cardinia ,0.163,0.853,0.11187739463601533
Casey ,0.158,0.848,0.08615076383671424
Central Goldfields ,0.166,0.825,0.1171875
Colac-Otway ,0.166,0.793,0.11507936507936507
Corangamite ,0.161,0.853,0.1111111111111111
Darebin ,0.122,0.875,0.10407239819004525
East Gippsland ,0.179,0.842,0.11475409836065574
Frankston ,0.165,0.834,0.11320754716981132
Gannawarra ,0.048,0.921,0.11711711711711711
Glen Eira ,0.137,0.854,0.09449354180829368
Glenelg ,0.192,0.752,0.11180124223602485
Golden Plains ,0.126,0.907,0.10333333333333333
Greater Bendigo ,0.171,0.824,0.1334355828220859
Greater Dandenong ,0.148,0.869,0.056138186304750155
Greater Geelong ,0.166,0.847,0.11367380560131796
Greater Shepparton ,0.144,0.871,0.10213243546576879
Hepburn ,0.056,0.837,0.14285714285714285
Hindmarsh ,0.086,0.914,0.109375
Hobsons Bay ,0.118,0.854,0.09080962800875274
Horsham ,0.147,0.859,0.13306451612903225
Hume ,0.164,0.829,0.09375
Indigo ,0.204,0.793,0.12429378531073447
Kingston ,0.109,0.904,0.0880893300248139
Knox ,0.184,0.842,0.10623409669211197
Latrobe ,0.221,0.812,0.10672853828306264
Loddon ,0.302,0.871,0.10714285714285714
Macedon Ranges ,0.127,0.852,0.11826347305389222
Manningham ,0.116,0.903,0.10135746606334842
Mansfield ,0.062,0.963,0.10752688172043011
Maribyrnong ,0.123,0.86,0.09101123595505618
Maroondah ,0.127,0.892,0.12379421221864952
Melbourne ,0.118,0.818,0.07602339181286549
Melton ,0.175,0.793,0.08872901678657075
Mildura ,0.141,0.845,0.08702531645569621
Mitchell ,0.261,0.748,0.12104283054003724
Moira ,0.22,0.865,0.14678899082568808
Monash ,0.127,0.836,0.079374624173181
Moonee Valley ,0.114,0.868,0.09210526315789473
Moorabool ,0.131,0.877,0.0963302752293578
Moreland ,0.14,0.857,0.1007591442374051
Mornington Peninsula ,0.158,0.83,0.10910118711136235
Mount Alexander ,0.117,0.86,0.11801242236024845
Moyne ,0.127,0.864,0.12437810945273632
Murrindindi ,0.07,0.874,0.1404494382022472
Nillumbik ,0.101,0.872,0.11397058823529412
Northern Grampians ,0.209,0.916,0.08791208791208792
Port Phillip ,0.127,0.84,0.10437235543018336
Pyrenees ,0.18,0.73,0.11764705882352941
Queenscliffe ,0.132,0.789,
South Gippsland ,0.18,0.818,0.11178247734138973
Southern Grampians ,0.151,0.875,0.11801242236024845
Stonnington ,0.123,0.835,0.09295352323838081
Strathbogie ,0.164,0.873,0.11538461538461539
Surf Coast ,0.161,0.833,0.08872901678657075
Swan Hill ,0.236,0.816,0.10566037735849057
Towong ,0.129,0.914,0.1506849315068493
Unincorporated Vic,,1.0,
Wangaratta ,0.113,0.859,0.12797619047619047
Warrnambool ,0.164,0.902,0.07848837209302326
Wellington ,0.13,0.852,0.10931174089068826
West Wimmera ,0.216,0.784,
Whitehorse ,0.105,0.901,0.09874213836477988
Whittlesea ,0.151,0.844,0.07106382978723404
Wodonga ,0.284,0.713,0.12578616352201258
Wyndham ,0.195,0.785,0.07953020134228188
Yarra ,0.156,0.838,0.08379888268156424
Yarra Ranges ,0.157,0.841,0.1251441753171857
Yarriambiack ,0.279,0.77,0.08433734939759036
